kT    M
0.1   0.992375
0.199   1.0
0.298   1.0
0.397   1.0
0.496   1.0
0.595   1.0
0.694   1.0
0.793   0.999875
0.892   0.9995
0.991   0.999625
1.09   0.999875
1.189   0.99625
1.288   0.995125
1.387   0.995
1.486   0.992
1.585   0.98825
1.684   0.984875
1.783   0.9725
1.882   0.9715
1.981   0.965
2.08   0.950875
2.179   0.955
2.278   0.92775
2.377   0.923
2.476   0.911125
2.575   0.897625
2.674   0.866
2.773   0.860375
2.872   0.84675
2.971   0.801
3.07   0.811
3.169   0.7895
3.268   0.739125
3.367   0.7315
3.466   0.73325
3.565   0.715
3.664   0.645625
3.763   0.6275
3.862   0.611875
3.961   0.633125
4.06   0.569875
4.159   0.57375
4.258   0.56725
4.357   0.517375
4.456   0.51725
4.555   0.501875
4.654   0.47975
4.753   0.4595
4.852   0.468
4.951   0.45625
5.05   0.42
5.149   0.4405
5.248   0.403875
5.347   0.3745
5.446   0.372375
5.545   0.369
5.644   0.34225
5.743   0.345875
5.842   0.346625
5.941   0.356125
6.04   0.321375
6.139   0.311375
6.238   0.29275
6.337   0.31575
6.436   0.2595
6.535   0.30625
6.634   0.212875
6.733   0.25825
6.832   0.268625
6.931   0.271375
7.03   0.24825
7.129   0.25725
7.228   0.254625
7.327   0.23475
7.426   0.242625
7.525   0.22425
7.624   0.226875
7.723   0.22875
7.822   0.219375
7.921   0.19975
8.02   0.17175
8.119   0.193625
8.218   0.214375
8.317   0.190875
8.416   0.208875
8.515   0.200375
8.614   0.188625
8.713   0.2015
8.812   0.170375
8.911   0.190375
9.01   0.1565
9.109   0.1415
9.208   0.169
9.307   0.168
9.406   0.153375
9.505   0.1425
9.604   0.120125
9.703   0.173125
9.802   0.14725
9.901   0.135375
