kT    M
0.1   0.994
0.199   1.0
0.298   1.0
0.397   1.0
0.496   1.0
0.595   1.0
0.694   1.0
0.793   1.0
0.892   0.996
0.991   0.986
1.09   0.992
1.189   0.956
1.288   0.974
1.387   0.946
1.486   0.884
1.585   0.848
1.684   0.938
1.783   0.768
1.882   0.81
1.981   0.798
2.08   0.886
2.179   0.67
2.278   0.746
2.377   0.734
2.476   0.732
2.575   0.556
2.674   0.658
2.773   0.546
2.872   0.452
2.971   0.674
3.07   0.628
3.169   0.552
3.268   0.546
3.367   0.49
3.466   0.432
3.565   0.488
3.664   0.304
3.763   0.326
3.862   0.434
3.961   0.456
4.06   0.356
4.159   0.336
4.258   0.292
4.357   0.302
4.456   0.38
4.555   0.314
4.654   0.276
4.753   0.394
4.852   0.268
4.951   0.212
5.05   0.308
5.149   0.168
5.248   0.274
5.347   0.186
5.446   0.37
5.545   0.118
5.644   0.174
5.743   0.234
5.842   0.306
5.941   0.318
6.04   0.188
6.139   0.248
6.238   0.1
6.337   0.294
6.436   0.26
6.535   0.202
6.634   0.246
6.733   0.194
6.832   0.168
6.931   0.144
7.03   0.258
7.129   0.126
7.228   0.144
7.327   0.178
7.426   0.182
7.525   0.116
7.624   0.238
7.723   0.186
7.822   0.156
7.921   0.156
8.02   0.092
8.119   0.21
8.218   0.14
8.317   0.222
8.416   0.188
8.515   0.206
8.614   0.16
8.713   0.166
8.812   0.144
8.911   0.158
9.01   0.172
9.109   0.172
9.208   0.088
9.307   0.09
9.406   0.134
9.505   0.128
9.604   0.14
9.703   0.122
9.802   0.094
9.901   0.114
